source,target,cluster
19995,146238,10
19995,9665,10
19995,102362,10
19995,17186,10
19995,13967,10
19995,2008,10
19995,4512,10
19995,76349,10
19995,50135,10
19995,367961,10
19995,223702,10
19995,9449,10
19995,4912,10
19995,11249,10
19995,9667,10
19995,812,10
19995,2043,10
19995,26320,10
19995,924,10
19995,2832,10
19995,8831,10
19995,112949,10
19995,10439,10
19995,218778,10
19995,78,10
19995,192102,10
19995,2001,10
19995,10025,10
19995,23172,10
19995,17834,10
19995,10016,10
19995,58431,10
19995,59859,10
19995,15927,10
19995,9437,10
19995,525,10
19995,10188,10
19995,9825,10
19995,186,10
19995,61891,10
19995,34584,10
19995,2666,10
19995,42807,10
19995,56288,10
19995,1613,10
19995,16617,10
19995,37028,10
19995,14560,10
19995,1934,10
19995,9454,10
19995,1551,10
19995,134374,10
19995,15028,10
19995,11509,10
19995,7445,10
19995,2057,10
19995,70436,10
19995,8011,10
19995,9092,10
19995,2779,10
19995,36355,10
19995,238615,10
19995,788,10
19995,619,10
19995,11024,10
19995,208763,10
19995,12589,10
19995,1497,10
19995,117,10
19995,11969,10
19995,1265,10
19995,11283,10
19995,77866,10
19995,14317,10
19995,227156,10
19995,9655,10
19995,1268,10
19995,11237,10
19995,11165,10
19995,6116,10
19995,21724,10
19995,9290,10
19995,13374,10
19995,319888,10
19995,1909,10
19995,22971,10
19995,34813,10
19995,46261,10
19995,10167,10
19995,18975,10
19995,22825,10
19995,11152,10
19995,43931,10
19995,12770,10
19995,11954,10
19995,60309,10
19995,6978,10
19995,10655,10
19995,20766,10
19995,24264,10
19995,9067,10
19995,8338,10
19995,168705,10
19995,94352,10
19995,152742,10
19995,25353,10
19995,36696,10
19995,38543,10
19995,33157,10
19995,290864,10
19995,83770,10
19995,168,10
19995,1788,10
19995,10480,10
19995,10313,10
19995,18828,10
19995,10208,10
19995,24961,10
19995,20697,10
19995,26672,10
19995,4935,10
19995,9737,10
19995,2787,10
19995,152601,10
19995,10866,10
19995,227707,10
19995,580,10
19995,6973,10
19995,30596,10
19995,256917,10
19995,251,10
19995,11395,10
19995,1642,10
19995,277,10
19995,11323,10
19995,10878,10
19995,10279,10
19995,270487,10
19995,24100,10
19995,5550,10
19995,30379,10
19995,42586,10
19995,17709,10
19995,287948,10
19995,9075,10
19995,11661,10
19995,109513,10
19995,204922,10
19995,21494,10
19995,164457,10
19995,4566,10
19995,1073,10
19995,153158,10
19995,9473,10
19995,1499,10
19995,8456,10
19995,7341,10
19995,49517,10
19995,1946,10
19995,772,10
19995,840,10
19995,8872,10
19995,16290,10
19995,11637,10
19995,9312,10
19995,8326,10
19995,35690,10
19995,13497,10
19995,162,10
19995,16690,10
19995,14873,10
19995,8968,10
19995,21208,10
19995,272878,10
19995,314365,10
19995,13279,10
19995,1649,10
19995,9895,10
19995,9570,10
19995,14359,10
19995,3989,10
19995,20391,10
19995,19904,10
19995,243,10
19995,38,10
19995,107985,10
19995,14043,10
19995,19901,10
19995,59860,10
19995,9588,10
19995,12819,10
19995,9954,10
19995,577,10
19995,328387,10
19995,12690,10
19995,9945,10
19995,526,10
19995,22796,10
19995,5915,10
19995,61012,10
19995,755,10
19995,9470,10
19995,470,10
19995,10642,10
19995,9414,10
19995,11382,10
19995,8198,10
19995,15070,10
19995,12797,10
19995,17134,10
19995,41402,10
19995,18885,10
19995,9716,10
19995,42618,10
19995,171274,10
19995,109417,10
19995,13948,10
19995,46435,10
19995,256962,10
19995,3509,10
19995,12142,10
19995,23367,10
19995,14582,10
19995,21755,10
19995,128,10
19995,16608,10
19995,7299,10
19995,19457,10
19995,8953,10
19995,46503,10
19995,13688,10
19995,10353,10
19995,43935,10
19995,14538,10
19995,133931,10
19995,6968,10
19995,581,10
19995,12150,10
19995,4232,10
19995,105,10
19995,62630,10
19995,29427,10
19995,129,10
19995,2669,10
19995,13523,10
19995,73191,10
19995,22479,10
19995,10065,10
19995,1878,10
19995,854,10
19995,2280,10
19995,8643,10
19995,218043,10
19995,10147,10
19995,816,10
19995,302688,10
19995,60307,10
19995,279,10
19995,8617,10
19995,10013,10
19995,9829,10
19995,10028,10
19995,10364,10
19995,11904,10
19995,28665,10
19995,44115,10
19995,20483,10
19995,38665,10
19995,848,10
19995,522,10
19995,12246,10
19995,245703,10
19995,10017,10
19995,193613,10
19995,43434,10
19995,69848,10
19995,9389,10
19995,290555,10
19995,8328,10
19995,241254,10
19995,1933,10
19995,679,10
19995,11113,10
19995,3597,10
19995,7516,10
19995,41439,10
19995,38117,10
19995,114150,10
19995,10223,10
19995,27759,10
19995,9310,10
19995,1491,10
19995,2989,10
19995,10629,10
19995,255343,10
19995,4723,10
19995,4032,10
19995,18615,10
19995,9285,10
19995,1417,10
19995,39180,10
19995,16161,10
19995,49950,10
19995,10956,10
19995,9594,10
19995,4638,10
19995,13491,10
19995,25166,10
19995,1090,10
19995,40160,10
19995,18074,10
19995,8009,10
19995,68727,10
19995,73935,10
19995,264656,10
19995,16351,10
19995,38717,10
19995,2110,10
19995,9035,10
19995,12154,10
19995,744,10
19995,146,10
19995,33196,10
19995,205596,10
19995,11153,10
19995,4011,10
19995,287903,10
19995,9276,10
19995,947,10
19995,18405,10
19995,2493,10
19995,64690,10
19995,1562,10
19995,14736,10
19995,9434,10
19995,11531,10
19995,9100,10
19995,116,10
19995,10413,10
19995,8975,10
19995,9424,10
19995,254904,10
19995,12162,10
19995,11495,10
19995,15511,10
19995,12211,10
19995,13816,10
19995,10743,10
19995,37718,10
19995,13539,10
19995,14024,10
19995,9026,10
19995,8321,10
19995,8053,10
19995,2290,10
19995,5236,10
19995,6552,10
19995,10075,10
19995,42188,10
19995,6687,10
19995,13853,10
19995,8461,10
19995,331592,10
19995,19,10
19995,253450,10
19995,9104,10
