,budget,genres,id,popularity,release_date,revenue,title,vote_average,vote_count,profit,release_year,cluster
131,150000000,Fantasy,19585,26.710398,21-07-2009,292817841,G-Force,5.1,510,142817841,2009,9
132,150000000,Adventure,57165,44.927635,27-03-2012,301000000,Wrath of the Titans,5.5,1431,151000000,2012,4
133,150000000,Comedy,62213,50.306728,08-05-2012,245527149,Dark Shadows,5.7,2320,95527149,2012,2
134,150000000,Action,177677,114.522237,23-07-2015,682330139,Mission: Impossible - Rogue Nation,7.1,3224,532330139,2015,3
135,150000000,Drama,7978,21.214571,11-02-2010,0,The Wolfman,5.5,549,-150000000,2010,1
136,150000000,Family,5559,29.332905,28-10-2007,287594577,Bee Movie,5.7,1171,137594577,2007,13
137,150000000,Animation,49444,51.247321,25-05-2011,665692281,Kung Fu Panda 2,6.7,1880,515692281,2011,8
138,150000000,Action,10196,33.769336,30-06-2010,318502923,The Last Airbender,4.7,1151,168502923,2010,3
139,150000000,Adventure,956,63.079003,03-05-2006,397850012,Mission: Impossible III,6.5,2028,247850012,2006,4
140,150000000,Action,117251,39.004588,27-06-2013,205366737,White House Down,6.4,1891,55366737,2013,3
141,150000000,Adventure,50321,12.362599,09-03-2011,38992758,Mars Needs Moms,5.5,199,-111007242,2011,4
142,149000000,Adventure,11619,22.550135,22-10-2006,64459316,Flushed Away,6,874,-84540684,2006,4
143,150000000,Adventure,266647,48.03528,24-09-2015,128388320,Pan,5.9,954,-21611680,2015,4
144,145000000,Animation,82703,38.73494,07-02-2014,272912430,Mr. Peabody & Sherman,6.7,843,127912430,2014,8
145,175000000,Adventure,652,66.803149,13-05-2004,497409852,Troy,6.9,2759,322409852,2004,4
146,145000000,Animation,80321,44.989192,06-06-2012,746921274,Madagascar 3: Europe's Most Wanted,6.4,1808,601921274,2012,8
147,140000000,Adventure,36669,54.159392,17-11-2002,431971116,Die Another Day,5.8,1092,291971116,2002,4
148,144000000,Action,43074,66.21806,14-07-2016,229147509,Ghostbusters,5.3,2142,85147509,2016,3
149,140000000,Action,95,58.485967,01-07-1998,553799566,Armageddon,6.4,2482,413799566,1998,3
150,140000000,Action,608,91.332849,03-07-2002,441818803,Men in Black II,6,3114,301818803,2002,3
151,70000000,Adventure,2310,35.601665,05-11-2007,195735876,Beowulf,5.5,841,125735876,2007,4
152,145000000,Action,140300,56.747978,23-01-2016,521170825,Kung Fu Panda 3,6.7,1603,376170825,2016,3
153,145000000,Action,56292,77.77477,07-12-2011,694713380,Mission: Impossible - Ghost Protocol,6.8,3972,549713380,2011,3
154,145000000,Fantasy,81188,61.788035,21-11-2012,306941670,Rise of the Guardians,7.1,1922,161941670,2012,9
155,100000000,Comedy,7552,25.159168,21-12-2005,202026112,Fun with Dick and Jane,5.9,627,102026112,2005,2
156,140000000,Drama,616,52.341226,05-12-2003,456758981,The Last Samurai,7.3,1895,316758981,2003,1
157,140000000,Adventure,147441,101.599427,03-12-2014,268031828,Exodus: Gods and Kings,5.6,1921,128031828,2014,4
158,150000000,Science Fiction,13475,73.616808,06-05-2009,385680446,Star Trek,7.4,4518,235680446,2009,11
159,139000000,Fantasy,557,82.502566,01-05-2002,821708551,Spider-Man,6.8,5265,682708551,2002,9
160,145000000,Fantasy,82702,100.21391,12-06-2014,609123048,How to Train Your Dragon 2,7.6,3106,464123048,2014,9
161,140000000,Fantasy,205584,56.257249,25-02-2016,150680864,Gods of Egypt,5.3,1277,10680864,2016,9
